Definition,Others,Faseh,Aammi
من يعتمد على يده اليسرى في عمله أكثر من اليمنى,أشدف، أشطل، شمالي، عسم,أعسر,أشول 
الشخص الفاقد لحاسة السمع ,أصقه، أصمخ، أطرم ,أصم,أطرش
كلمة تقال للشخص عند استحسان فعل قام به ,أجديت ، برافو، عشت، عفارم ,أحسنت صنعاً,كفو 
فعل يدل على أمر الشخص بالابتعاد,اذلف، اردع، انقلع ,اذهب بعيدا,اقلب وجهك 
الاستهزاء و التهكم,سخرية، طماشة,السخرية,طقطقة
ما يصعد عليه إلى الامكنة العالية,زلفة، مرقاع، مرقاه ,السلم ,درج
مركبة  تستخدم للتنقل ,الوانيت، سيدان، توبيس ,السيارة ,الموتر
منصة بازرة من البماني تطل على ما حول المبنة من شوارع وغيرها,برندة,الشرفة,بلكونة
المناطق البرية المكشوفة والتي يخرج اليها الناس للتنزه,خلال، ديان، قفار،خبت,الصحراء,بر
وعاء زجاجي مقفل مفرغ من الهواء او مملوء بغاز خامل فيه فتيلة من مادة التنجستين تتوهج اذا مر فيها تيار كهربائي فتضيء,أباجورة، ثريا، ليت،نجفة،نور ,الضوء الكهربائي,لمبة 
ما تغير طعمه ورائحته وصار غير صالح للأكل,فاسد ،مقطن، معفن ,الفاسد من الطعام,خايس
جهاز يصعد بالناس ويهبط ,لفت ، مصعد ,المصعد,أصنصير
شباك ينفذ منه النور والهواء الى الحجرة ,شباك، طاقة,النافذة,دريشة 
اله يستخدمها السائق لتنبيه المارة عند مرور السيارة ,زامور، هرن، طنيبة,بوق السيارة,بوري
التودة والتمهل في الأمر ,استنى، ترفق، شوي شوي ,تأنى,بشويش
تودد الى الاخرين بكلام لا يعكس ما بقلبه ,تملحس، تلوق، تلزق,تملق,تمصلح
الانجراف في الخطأ مع عدم الاهتمام بعواقبه ,زود، ملق,تمادى في الخطأ,مصخ
هو ما يبسط على الأرض من فرش ,سجادة، فرشة، مده,بساط ,حصير
ثقيل لا ينجز ,عجاز،,بطيء التصرف,بارد 
سيلان الدمع من حزن أو غيره ,عيط,بكى,صاح
الرجوع بالرأس و الجسم إلى الخلف,قعبص، كوكس,تدحرج إلى الخلف,يتشقلب
فعل بمعنى عضب و تعصب ,تشكى، تضور، تهتف ,تذمر ,تحلطم
كلمة تدل على الترحيب والسؤال عن حال الشخص,شلونك، كيف الحال، ,ترحيب,وش علومك
من كثر ماله و غني عن الناس ,غني ، منقنق، مقرش,غني ,بطران
وقع في مشكلة لم تكن في الحسبان ,ابتلش، انكب,تورط,توهق 
لباس يرتدي في الرجل ,جوارب، دلاغ,جراب,شراب
مكان في الملابس يوضع فيها الأشياء ,جيب,جيب الثوب,مخبى
كيس من الجلد تجمع فيها الأشياء ,شنطة، عليجة ,حقيبة ,شنطة
مكان في مؤخرة السيارة يوضع فيه الأشياء,شنطة، صندوق ,شنطة السيارة,دبة
