Definition,Other,Fasih,Mostaarib
جهاز إلكتروني يُستخدم لمعالجة وتخزين البيانات,جهاز حاسوب,حاسوب,كمبيوتر
جهاز يستخدم لاستقبال إشارات الراديو,مذياع,الرادّ,راديو
جهاز يُستخدم لتوفير خدمات وموارد للشبكات,مخدم,خادم,سيرفر
الشبكة العالمية المكونة من ملايين المواقع والصفحات,الشبكة العالمية,الشبكة العنكبوتية,إنترنت
جهاز إلكتروني يُستخدم للتحكم عن بُعد في أجهزة أخرى,جهاز ضبط,جهاز تحكم,ريموت
جهاز آلي مبرمج لأداء مهام معينة أو تنفيذ أعمال بدون تدخل بشري مباشر,جهاز الذكاء الاصطناعي,آلة ذكية,روبوت
 عملة رقمية مشفرة تعتمد على التكنولوجيا المبتكرة للبلوكشين,عملة رقمية مشفر,عملة رقمية,بيتكوين
موسوعة على الإنترنت تعتمد على المساهمة الحرة من قبل المستخدمين,موسوعة إلكترونية,موسوعة على الإنترنت,ويكيبيديا
 منصة التواصل الاجتماعي لمشاركة الرسائل القصيرة,منصة تواصل اجتماعي,المغرد,تويتر
لأجزاء الصلبة,الأجهزة الفعلية,الأجزاء الصلبة,هاردوير
جهاز إلكتروني يصغر حجمه بحيث يمكن حمله واستخدامه بسهولة,جهاز نقال,هاتف محمول,موبايل
موقع الفيديو على الإنترنت,منصة مشاركة الفيديو,موقع الفيديو على الإنترنت,يوتيوب
نظام يتيح تصفح الصفحات الإلكترونية,الإنترنت,المتصفح, وِيب
 نقل المحتوى الصوتي أو المرئي عبر الإنترنت بشكل فوري,البث المباشر عبر الإنترنت,البث المباشر,ستريم 
نوع من أنواع الحواسيب المحمولة، يتميز بحجمه الصغير وخفة وزنه مما يجعله سهل الحمل والاستخدام في أماكن متنوعة,حاسب محمول,جهاز حاسب محمول,لابتوب
حديث بين شخصين أو أكثر عن طريق برامج التواصل الاجتماعى,دردشة,محادثة,شات
متجر كبير يبيع مجموعة متنوعة من المنتجات,متجر كبير,السوق الكبير,سوبرماركت 
مكان مخصص لوقوف السيارات,موقف سيارات,موقف السيارات,باركينج 
جهاز يتيح الاتصال بالإنترنت عبر الخطوط الهاتفية,جهاز التوصيل,جهاز الاتصال,مودم
نوع من الفنون يهدف إلى إثارة الضحك والفرح,الفكاهة,المرح,كوميديا 
وحدة قياس للفرق الكهربائي,التوتر الكهربائي,الجهد الكهربائي,فولت
 نوع من الفنون يتناول الأحداث الكئيبة والمأساوية,الألم الشديد,المأساة,تراجيديا
